Data_source,CAMHID,Site,SiteCode,Region,Year,Century,century_recode,d13C_whole_oto,d18O_whole_oto,d13C_juv,d18O_juv,d13C_adult,d18O_adult,Age_yr,Oto_section_diameter_mm,Estimated_fishlength_cm,VonB_fishlength_cm,VonB_residual,G_index,O18_Reynolds
CAMH,1,Grænagerði,GNR,NW,1050,11,11,-0.91,3.7, , , , ,7,6.71,53.90967054,77.77,-3.408618494,0.693193655,3.31
CAMH,2,Grænagerði,GNR,NW,1050,11,11,-1.5,3.61, , , , ,6,7.33,60.82690854,70.56,-1.622181909,0.862059361,3.31
CAMH,3,Grænagerði,GNR,NW,1050,11,11,-0.73,3.33, , , , ,6,7.28,60.26083974,70.56,-1.71652671,0.854036844,3.31
CAMH,5,Grænagerði,GNR,NW,1050,11,11,-0.97,3.72, , , , ,12,7.39,61.5080584,104.92,-3.6176618,0.58623769,3.31
CAMH,6,Grænagerði,GNR,NW,1050,11,11, , , , , , ,9,8.84,78.56290053,90.24,-1.297455496,0.870599518,3.31
CAMH,7,Grænagerði,GNR,NW,1050,11,11,-0.8,3.56, , , , ,12,7.18,59.13297186,104.92,-3.815585678,0.563600571,3.31
CAMH,8,Grænagerði,GNR,NW,1050,11,11,-2.06,3.13, , , , ,7,6.59,52.59702636,77.77,-3.596139091,0.676315113,3.31
CAMH,9,Grænagerði,GNR,NW,1050,11,11,-2.05,2.9, , , , ,16,10.47,98.99445803,118.86,-1.241596373,0.832866044,3.31
CAMH,10,Grænagerði,GNR,NW,1050,11,11,-1.93,3.41, , , , ,6,7.25,59.92188022,70.56,-1.773019963,0.849232996,3.31
CAMH,11,Grænagerði,GNR,NW,1050,11,11,-1.17,3.56, , , , ,10,9.55,87.30685029,95.61,-0.830314971,0.913156054,3.31
CAMH,12,Grænagerði,GNR,NW,1050,11,11,-1.61,3.43, , , , ,7,6.17,48.07211713,77.77,-4.242554695,0.618131891,3.31
CAMH,13,Grænagerði,GNR,NW,1050,11,11,-1.79,4.41, , , , ,15,10.9,104.5895541,115.87,-0.752029728,0.902645673,3.31
CAMH,14,Grænagerði,GNR,NW,1050,11,11,-1.53,4.09, , , , ,10,8.35,72.67540166,95.61,-2.293459834,0.760123435,3.31
CAMH,15,Grænagerði,GNR,NW,1050,11,11,-0.4,3.76, , , , ,7,7.29,60.37394,77.77,-2.485151428,0.776314003,3.31
CAMH,16,Gufuskalar,GFS,W,1470,15,15,-1.14,4.08, , , , ,14,10.41,98.22033514,112.56,-1.024261776,0.872604257,3.58
