Source,Historical_or_modern,CAMHID,Year,Century,Century_recoded,Length_cm,Age_yr,Predicted_length_cm,G_index,Region
Archaeo,950-1900,     1,1050,11,11,53.9096705391853,7,77.77,.693193654869298,NW
Archaeo,950-1900,     2,1050,11,11,60.8269085443274,6,70.56,.862059361455887,NW
Archaeo,950-1900,     3,1050,11,11,60.2608397388568,6,70.56,.854036844371553,NW
Archaeo,950-1900,     5,1050,11,11,61.5080583952103,12,104.92,.586237689622668,NW
Archaeo,950-1900,     6,1050,11,11,78.5629005316914,9,90.24,.870599518303318,NW
Archaeo,950-1900,     7,1050,11,11,59.1329718607905,12,104.92,.563600570537462,NW
Archaeo,950-1900,     8,1050,11,11,52.597026364972,7,77.77,.676315113346689,NW
Archaeo,950-1900,     9,1050,11,11,98.9944580306229,16,118.86,.832866044343117,NW
Archaeo,950-1900,    10,1050,11,11,59.9218802203741,6,70.56,.849232996320495,NW
Archaeo,950-1900,    11,1050,11,11,87.3068502877817,10,95.61,.913156053632273,NW
Archaeo,950-1900,    12,1050,11,11,48.0721171349258,7,77.77,.61813189063811,NW
Archaeo,950-1900,    13,1050,11,11,104.589554072969,15,115.87,.902645672503397,NW
Archaeo,950-1900,    14,1050,11,11,72.6754016562997,10,95.61,.760123435376003,NW
Archaeo,950-1900,    15,1050,11,11,60.3739400042805,7,77.77,.776314002883895,NW
Archaeo,950-1900,    16,1470,15,15,98.220335141632,14,112.56,.872604256766454,W
Archaeo,950-1900,    17,1470,15,15,90.443744520879,16,118.86,.76092667441426,W
Archaeo,950-1900,    18,1470,15,15,89.1854286852399,15,115.87,.769702500088374,W
Archaeo,950-1900,    19,1470,15,15,69.719497926507,9,90.24,.772600819221044,W
Archaeo,950-1900,    20,1470,15,15,98.0914730982965,13,108.93,.900500074344042,W
Archaeo,950-1900,    21,1470,15,15,108.938768685053,16,118.86,.916530108405288,W
Archaeo,950-1900,    22,1470,15,15,90.443744520879,23,133.3,.678497708333676,W
Archaeo,950-1900,    23,1470,15,15,91.7067686342364,11,100.49,.912595966108433,W
Archaeo,950-1900,    24,1470,15,15,76.6269712034437,9,90.24,.849146400747381,W
Archaeo,950-1900,    25,1470,15,15,72.0815952208386,8,84.31,.854959022901656,W
Archaeo,950-1900,    26,1470,15,15,103.803910521668,15,115.87,.895865284557419,W
Archaeo,950-1900,    27,1470,15,15,108.276751784994,9,90.24,1.19987535222733,W
Archaeo,950-1900,    28,1470,15,15,100.677292383697,8,84.31,1.19413227830266,W
Archaeo,950-1900,    29,1470,15,15,88.3074254535644,13,108.93,.810680487042729,W
Archaeo,950-1900,    30,1470,15,15,89.6881880718323,8,84.31,1.06379063067053,W
Archaeo,950-1900,    31,1470,15,15,103.281031129226,14,112.56,.917564242441596,W
Archaeo,950-1900,    32,1470,15,15,96.8053510291472,13,108.93,.888693206914047,W
Archaeo,950-1900,    33,1470,15,15,100.547574049635,20,128.29,.783752233608505,W
Archaeo,950-1900,    34,1470,15,15,102.107144808858,13,108.93,.937364773789204,W
Archaeo,950-1900,    35,1470,15,15,89.1854286852399,10,95.61,.932804400012968,W
Archaeo,950-1900,    36,1470,15,15,85.4390406362521,15,115.87,.737369816486167,W
Archaeo,950-1900,    37,1470,15,15,104.327496569097,18,124.03,.841147275409961,W
Archaeo,950-1900,    38,1470,15,15,95.1402168269773,12,104.92,.906788189353577,W
Archaeo,950-1900,    39,1470,15,15,87.556707551974,9,90.24,.970264932978435,W
Archaeo,950-1900,    40,1470,15,15,81.6134956103081,8,84.31,.968016790538585,W
Archaeo,950-1900,    41,1470,15,15,94.5018466823972,9,90.24,1.04722791093082,W
Archaeo,950-1900,    42,1470,15,15,110.532008566269,13,108.93,1.01470677101137,W
Archaeo,950-1900,    43,1470,15,15,90.1917037159974,12,104.92,.859623558101385,W
Archaeo,950-1900,    44,1470,15,15,60.9402923030512,9,90.24,.675313522861826,W
Archaeo,950-1900,    45,1470,15,15,100.936863416878,16,118.86,.849208004516897,W
Archaeo,950-1900,    46,1470,15,15,96.9337584068792,12,104.92,.923882562017529,W
Archaeo,950-1900,    47,1470,15,15,85.9360641788781,13,108.93,.788910898548408,W
Archaeo,950-1900,    48,1470,15,15,86.5584281567639,12,104.92,.824994549721349,W
Archaeo,950-1900,    49,1470,15,15,70.5438315406389,7,77.77,.907082828091024,W
Archaeo,950-1900,    50,1470,15,15,90.443744520879,15,115.87,.780562220772236,W
Archaeo,950-1900,    51,1470,15,15,90.5698355620992,12,104.92,.863227559684514,W
Archaeo,950-1900,    52,1470,15,15,92.4668304879529,14,112.56,.82148925451273,W
Archaeo,950-1900,    53,1470,15,15,74.5843130794306,7,77.77,.959037071871295,W
Archaeo,950-1900,    54,1470,15,15,79.5356997348155,8,84.31,.943372076086057,W
Archaeo,950-1900,    55,1470,15,15,95.6517409182061,11,100.49,.951853327875471,W
Archaeo,950-1900,    56,1470,15,15,97.1907099106115,10,95.61,1.01653289311381,W
Archaeo,950-1900,    57,1470,15,15,99.382129358641,12,104.92,.947218160109045,W
Archaeo,950-1900,    58,1470,15,15,88.1821866009478,24,134.67,.654802009363242,W
Archaeo,950-1900,    59,1470,15,15,82.2273356804358,9,90.24,.911207177309794,W
Archaeo,950-1900,    60,1470,15,15,77.9565334007906,8,84.31,.92464160124292,W
Archaeo,950-1900,    61,1470,15,15,80.0232999107572,8,84.31,.949155496509989,W
Archaeo,950-1900,    62,1470,15,15, ,10,95.61, ,W
Archaeo,950-1900,    63,1470,15,15,91.0746699426408,13,108.93,.836084365580104,W
Archaeo,950-1900,    64,1470,15,15,102.889336324371,12,104.92,.980645599736666,W
Archaeo,950-1900,    65,1470,15,15,81.6134956103081,11,100.49,.812155394669202,W
Archaeo,950-1900,    66,1250,13,13.5,53.9096705391853,12,104.92,.513816913259486,NW
Archaeo,950-1900,    67,1250,13,13.5, ,11,100.49, ,NW
Archaeo,950-1900,    69,1250,13,13.5,74.8238570691807,12,104.92,.713151516099702,NW
Archaeo,950-1900,    70,1250,13,13.5,58.3468735395505,12,104.92,.556108211394877,NW
Archaeo,950-1900,    71,1250,13,13.5,76.9889709678087,10,95.61,.805239734000718,NW
Archaeo,950-1900,    72,1250,13,13.5,93.9919807875646,16,118.86,.790778906171669,NW
Archaeo,950-1900,    73,1250,13,13.5,75.6638785473096,9,90.24,.838473831419654,NW
Archaeo,950-1900,    74,1250,13,13.5,70.3080428433342,12,104.92,.670110968769864,NW
Archaeo,950-1900,    75,1250,13,13.5,89.1854286852399,11,100.49,.887505509854114,NW
